Date,ftse
21/02/2019,7167.39
20/02/2019,7228.62
19/02/2019,7179.17
18/02/2019,7219.47
15/02/2019,7236.68
14/02/2019,7197.01
13/02/2019,7190.84
12/2/2019,7133.14
11/2/2019,7129.11
8/2/2019,7071.18
7/2/2019,7093.58
6/2/2019,7173.09
5/2/2019,7177.37
4/2/2019,7034.13
1/2/2019,7020.22
31/01/2019,6968.85
30/01/2019,6941.63
29/01/2019,6833.93
28/01/2019,6747.1
25/01/2019,6809.22
24/01/2019,6818.95
23/01/2019,6842.88
22/01/2019,6901.39
21/01/2019,6970.59
18/01/2019,6968.33
17/01/2019,6834.92
16/01/2019,6862.68
15/01/2019,6895.02
14/01/2019,6855.02
11/1/2019,6918.18
10/1/2019,6942.87
9/1/2019,6906.63
8/1/2019,6861.6
7/1/2019,6810.88
4/1/2019,6837.42
3/1/2019,6692.66
2/1/2019,6734.23
31/12/2018,6728.13
28/12/2018,6733.97
27/12/2018,6584.68
24/12/2018,6685.99
21/12/2018,6721.17
20/12/2018,6711.93
19/12/2018,6765.94
18/12/2018,6701.59
17/12/2018,6773.24
14/12/2018,6845.17
13/12/2018,6877.5
12/12/2018,6880.19
11/12/2018,6806.94
10/12/2018,6721.54
7/12/2018,6778.11
6/12/2018,6704.05
5/12/2018,6921.84
4/12/2018,7022.76
3/12/2018,7062.41
30/11/2018,6980.24
29/11/2018,7038.95
28/11/2018,7004.52
27/11/2018,7016.85
26/11/2018,7036
23/11/2018,6952.86
22/11/2018,6960.32
21/11/2018,7050.23
20/11/2018,6947.92
19/11/2018,7000.89
16/11/2018,7013.88
15/11/2018,7038.01
14/11/2018,7033.79
13/11/2018,7053.76
12/11/2018,7053.08
9/11/2018,7105.34
8/11/2018,7140.68
7/11/2018,7117.28
6/11/2018,7040.68
5/11/2018,7103.84
2/11/2018,7094.12
1/11/2018,7114.66
31/10/2018,7128.1
30/10/2018,7035.85
29/10/2018,7026.32
26/10/2018,6939.56
25/10/2018,7004.1
24/10/2018,6962.98
23/10/2018,6955.21
22/10/2018,7042.8
19/10/2018,7049.8
18/10/2018,7026.99
17/10/2018,7054.6
16/10/2018,7059.4
15/10/2018,7029.22
12/10/2018,6995.91
11/10/2018,7006.93
10/10/2018,7145.74
9/10/2018,7237.59
8/10/2018,7233.33
5/10/2018,7318.54
4/10/2018,7418.34
3/10/2018,7510.28
2/10/2018,7474.55
1/10/2018,7495.67
28/09/2018,7510.2
27/09/2018,7545.44
26/09/2018,7511.49
25/09/2018,7507.56
24/09/2018,7458.41
21/09/2018,7490.23
20/09/2018,7367.32
19/09/2018,7331.12
18/09/2018,7300.23
17/09/2018,7302.1
14/09/2018,7304.04
13/09/2018,7281.57
12/9/2018,7313.36
11/9/2018,7273.54
10/9/2018,7279.3
7/9/2018,7277.7
6/9/2018,7318.96
5/9/2018,7383.28
4/9/2018,7457.86
3/9/2018,7504.6
31/08/2018,7432.42
30/08/2018,7516.03
29/08/2018,7563.21
28/08/2018,7617.22
24/08/2018,7577.49
23/08/2018,7563.22
22/08/2018,7574.24
21/08/2018,7565.7
20/08/2018,7591.26
17/08/2018,7558.59
16/08/2018,7556.38
15/08/2018,7497.87
14/08/2018,7611.64
13/08/2018,7642.45
10/8/2018,7667.01
9/8/2018,7741.77
8/8/2018,7776.65
7/8/2018,7718.48
6/8/2018,7663.78
3/8/2018,7659.1
2/8/2018,7575.93
1/8/2018,7652.91
31/07/2018,7748.76
30/07/2018,7700.85
27/07/2018,7701.31
26/07/2018,7663.17
25/07/2018,7658.26
24/07/2018,7709.05
23/07/2018,7655.79
20/07/2018,7678.79
19/07/2018,7683.97
18/07/2018,7676.28
17/07/2018,7626.33
16/07/2018,7600.45
13/07/2018,7661.87
12/7/2018,7651.33
11/7/2018,7591.96
10/7/2018,7692.04
9/7/2018,7687.99
6/7/2018,7617.7
5/7/2018,7603.22
4/7/2018,7573.09
3/7/2018,7593.29
2/7/2018,7547.85
29/06/2018,7636.93
28/06/2018,7615.63
27/06/2018,7621.69
26/06/2018,7537.92
25/06/2018,7509.84
22/06/2018,7682.27
21/06/2018,7556.44
20/06/2018,7627.4
19/06/2018,7603.85
18/06/2018,7631.33
15/06/2018,7633.91
14/06/2018,7765.79
13/06/2018,7703.71
12/6/2018,7703.81
11/6/2018,7737.43
8/6/2018,7681.07
7/6/2018,7704.4
6/6/2018,7712.37
5/6/2018,7686.8
4/6/2018,7741.29
1/6/2018,7701.77
31/05/2018,7678.2
30/05/2018,7689.57
29/05/2018,7632.64
25/05/2018,7730.28
24/05/2018,7716.74
